,timestamp,SITE,ASSET,COMPONENT,alert_name,event_date
59,1647470038140,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-16
60,1647474276447,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-16
61,1647551466031,-1557133113,-1287547090,-404457910,LM_a247_ambientTempStale,2022-03-17
62,1647551466031,-1557133113,-1287547090,1105510009,LM_a247_ambientTempStale,2022-03-17
63,1647551466031,-1557133113,-1287547090,-358949053,LM_a247_ambientTempStale,2022-03-17
64,1647551466031,-1557133113,-1287547090,-1843899103,LM_a247_ambientTempStale,2022-03-17
65,1647523900576,1812465445,-2120433623,372425752,LM_a141_cableTempImbalance,2022-03-17
66,1647477387735,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
67,1647477412935,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
68,1647477421235,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
69,1647477439034,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-17
70,1647477855222,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
71,1647477963519,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
72,1647477992318,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
73,1647478014017,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
74,1647478160615,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
75,1647478253013,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
76,1647478345409,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
77,1647478351709,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
78,1647478511906,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
79,1647478544405,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
80,1647478552604,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
81,1647484201640,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
82,1647485014718,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
83,1647485237710,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
84,1647486131785,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-17
85,1647486142585,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-17
86,1647486147285,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-17
87,1647489882774,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-17
88,1647538795773,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
89,1647539138862,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
90,1647542626367,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
91,1647543218451,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-17
92,1647543221751,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-17
93,1647543300449,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-17
94,1647545015405,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
95,1647545061204,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
96,1647545354796,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-17
97,1647546752866,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
98,1647546816364,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
99,1647546819365,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
100,1647548461827,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
101,1647549000515,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
102,1647549146712,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-17
103,1647702450114,-1557133113,-1287547090,-404457910,LM_a247_ambientTempStale,2022-03-19
104,1647702450114,-1557133113,-1287547090,-1843899103,LM_a247_ambientTempStale,2022-03-19
105,1647702450114,-1557133113,-1287547090,1105510009,LM_a247_ambientTempStale,2022-03-19
106,1647702450114,-1557133113,-1287547090,-358949053,LM_a247_ambientTempStale,2022-03-19
107,1647724522678,-1844894889,1477164192,-1702932383,LM_a141_cableTempImbalance,2022-03-19
108,1647724612775,-1844894889,1477164192,-1702932383,LM_a141_cableTempImbalance,2022-03-19
109,1647724703174,-1844894889,1477164192,-1702932383,LM_a141_cableTempImbalance,2022-03-19
110,1647724791771,-1844894889,1477164192,-1702932383,LM_a141_cableTempImbalance,2022-03-19
111,1647724883469,-1844894889,1477164192,-1702932383,LM_a141_cableTempImbalance,2022-03-19
112,1647724980367,-1844894889,1477164192,-1702932383,LM_a141_cableTempImbalance,2022-03-19
113,1647725097263,-1844894889,1477164192,-1702932383,LM_a141_cableTempImbalance,2022-03-19
114,1647224917339,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
115,1647224923739,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
116,1647224932539,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
117,1647224941338,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
118,1647225037636,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
119,1647225089534,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
120,1647225100634,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
121,1647225124134,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
122,1647236929290,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
123,1647236933189,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
124,1647236979088,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
125,1647237109584,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
126,1647237270679,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
127,1647277830466,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
128,1647277837266,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
129,1647277846465,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
130,1647281460361,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
131,1647284683677,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
132,1647284704976,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
133,1647284757374,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
134,1647284809972,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
135,1647284821371,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
136,1647284871572,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
137,1647285190561,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
138,1647291948184,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-14
139,1647302158411,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
140,1647302166012,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-14
141,1647309222243,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
142,1647309261815,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
143,1647309337114,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
144,1647310104191,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
145,1647322674518,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
146,1647322685919,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
147,1647323143706,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
148,1647323238201,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
149,1647323257500,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
150,1647323267000,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
151,1647361451777,-207607826,-1470107556,252179273,LM_a141_cableTempImbalance,2022-03-15
152,1647363694411,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
153,1647363727310,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
154,1647364599783,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
155,1647365378361,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
156,1647365467660,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
157,1647366144841,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
158,1647366644028,-207607826,-1470107556,-837209140,LM_a141_cableTempImbalance,2022-03-15
